"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CLEC4M",-1.89935882434302,4.4310606147541,-6.46771870015427,5.35079573211816e-10,5.27574113392031e-06,11.9939064464754,"Downregulated"
"PHF1",-1.13917925311203,7.05539704918033,-6.43465197042087,6.44798476401895e-10,5.27574113392031e-06,11.8257735916773,"Downregulated"
"CLEC4G",-1.26171123098203,5.65979827868852,-6.20781602889774,2.27804882881413e-09,1.24259970115715e-05,10.6885513844987,"Downregulated"
"CNPY3",-0.869600165975106,8.53257163934426,-5.3065276605646,2.49961225613981e-07,0.0010225913739868,6.46688963998709,"Not Significant"
"ZXDC",-0.696296002766255,6.33202168032787,-5.25071586152863,3.28551543142224e-07,0.00107528349039587,6.22202821665363,"Not Significant"
"BAP1",-0.552553789764874,7.02385323770492,-5.12061144202211,6.16278392178763e-07,0.00151304836933462,5.65912184596712,"Not Significant"
"KLF13",-0.529610511756568,5.99331442622951,-5.11037155994165,6.47234086124561e-07,0.00151304836933462,5.61529160864252,"Not Significant"
"AAK1",-0.825789183955742,7.46123729508197,-5.02094464854729,9.8990421095248e-07,0.00183092964631931,5.23547964069227,"Not Significant"
"POLR2J",-0.519097731673585,7.37126795081967,-5.0038105527133,1.0731776528166e-06,0.00183092964631931,5.16331886154422,"Not Significant"
"TUBG2",-1.30199708160443,7.00172774590164,-4.9949472456112,1.11887658660432e-06,0.00183092964631931,5.12606823870902,"Downregulated"
"BCKDK",-0.785882807745509,6.82773635245902,-4.86086695653796,2.08836872759138e-06,0.00310673325984594,4.56904568137543,"Not Significant"
"CASC3",-0.60441572614108,7.8984556147541,-4.84009252349113,2.29775029019721e-06,0.0031333654790656,4.48383731095961,"Not Significant"
"ARFGAP2",-0.683366500691561,7.15002221311475,-4.79905068805215,2.77259648620412e-06,0.00349005914617263,4.31637243961803,"Not Significant"
"CD5L",-0.934886528354079,4.66679131147541,-4.62926712844554,5.9535054489816e-06,0.00668305096807828,3.6360225794425,"Not Significant"
"MEPCE",-0.626390096818817,6.72440475409836,-4.62283001694702,6.12599392087352e-06,0.00668305096807828,3.61062535920619,"Not Significant"
"SGF29",-0.801880027662519,7.03225581967213,-4.5531009972344,8.33092087572002e-06,0.00804941051800226,3.337392706412,"Not Significant"
"OR7E37P",-1.0491162240664,8.02917274590164,-4.55224441695664,8.36225732131742e-06,0.00804941051800226,3.33405765809348,"Downregulated"
"TM7SF2",-1.26658958506224,6.37067323770492,-4.50604552890838,1.02309420608799e-05,0.00930106310467996,3.15495982661677,"Downregulated"
"MAN2A2",-1.08556926694329,7.3249212295082,-4.44341461448601,1.34142459638488e-05,0.0109341599940269,2.91460092528215,"Downregulated"
"CTC1",-0.714218437067774,7.0576562704918,-4.43500821687007,1.39078846830893e-05,0.0109341599940269,2.88255445433077,"Not Significant"
"FBXW4",-0.803470608575385,7.61685479508197,-4.43294198728146,1.40318601732196e-05,0.0109341599940269,2.87468547703513,"Not Significant"
"NHEJ1",-0.627494744121713,6.27764368852459,-4.42009235508754,1.48269839375623e-05,0.011028580234285,2.82581845464741,"Not Significant"
"BET1L",-0.747346486860306,6.85985553278689,-4.3962958953788,1.6415036854814e-05,0.0116789418735729,2.73563606449422,"Not Significant"
"TMEM150A",-0.716104564315353,6.2823,-4.35662960444734,1.94308372801812e-05,0.0132485925522035,2.58622400627986,"Not Significant"
"OR7E14P",-1.09912464730291,7.91883918032787,-4.33285504461797,2.14856763715155e-05,0.0140636643257392,2.49722051836702,"Downregulated"
"RETREG3",-0.658042005532504,7.91371200819672,-4.32198633585772,2.24929229335384e-05,0.0141566996494009,2.45666932372162,"Not Significant"
"SLC25A2",-0.695629944674968,5.16249954918033,-4.30053828330592,2.46148128356649e-05,0.0149183998978822,2.37689999047348,"Not Significant"
"SNORA58",0.530813167358226,4.15479344262295,4.28239606065184,2.65579880274524e-05,0.0155212470029011,2.30968877732811,"Not Significant"
"KAT5",-0.439081355463348,6.69876385245902,-4.27003166584205,2.79655082944875e-05,0.0157802613010688,2.26402104069847,"Not Significant"
"ARAF",-0.618055394190874,7.54652364754098,-4.25527795050502,2.97384609100301e-05,0.0162213391443911,2.20967547722964,"Not Significant"
"EXOC3",-0.448313734439834,7.25192831967213,-4.24671466724729,3.08162856984811e-05,0.0162219430293992,2.17820598463643,"Not Significant"
"SNRNP27",0.86561777316736,7.39942159836066,4.23973583029662,3.1722205875139e-05,0.0162219430293992,2.15259920246501,"Not Significant"
"NCOA5",-0.648562627939143,7.07744483606557,-4.22452777694434,3.37853522496251e-05,0.0162654907993428,2.09692224083243,"Not Significant"
"MRPS18B",-0.690290401106507,6.94784344262295,-4.22361380867197,3.39133427355879e-05,0.0162654907993428,2.09358162781886,"Not Significant"
"SPDYE5",-0.536679999999996,5.70342852459016,-4.20677268627352,3.63563348032562e-05,0.0162654907993428,2.03213679740224,"Not Significant"
"INTS15",-0.512135781466111,6.59519430327869,-4.19325599671774,3.84377963389944e-05,0.0162654907993428,1.98297305232999,"Not Significant"
"PARP16",-0.590697289073304,6.73396204918033,-4.19284656657274,3.85025877664779e-05,0.0162654907993428,1.98148596049008,"Not Significant"
"STAB2",-1.19799453665284,4.54990823770492,-4.19259950107113,3.85417357875298e-05,0.0162654907993428,1.98058865365228,"Downregulated"
"EPB41L4A-AS1",-0.914034329183954,7.12293713114754,-4.19119362043656,3.8765224955657e-05,0.0162654907993428,1.97548355640209,"Not Significant"
"WWP2",-0.612961825726143,6.63265459016393,-4.18269681312547,4.0142508666157e-05,0.0164223002953248,1.94466077737285,"Not Significant"
